,Animal,Backing,Cyclist,Entering/Exiting,Hazardous Materials,Head-on Collision,Hit in Rear,Hit Other in Rear,Hit Parked Vehicle,Hit Stationary Object,Hit While Parked,Intersection ,Jacknife,Moving Object,Parking Lot,Rollaway,Sideswipe,,,,,,,,,,,,,,,,,,
Cab Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Seat belt,4,3,3,3,8,3,8,3,3,3,8,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,
b. Cab distractions,1,1,2,1,8,1,3,1,1,1,8,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,
c. Cab obstruction,2,2,3,2,8,1,3,1,2,2,8,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,
d. Cab Chemicals,3,3,3,3,1,2,4,2,1,2,8,3,4,4,4,8,4,,,,,,,,,,,,,,,,,,
Start Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Park brake applied,4,4,4,8,8,8,8,8,3,2,8,3,8,8,3,1,3,,,,,,,,,,,,,,,,,,
b. Trans in Neutral,8,4,8,8,8,8,8,3,3,3,8,8,8,8,3,8,4,,,,,,,,,,,,,,,,,,
c. Uses Starter properly,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,
Engine Operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Over revving,4,4,4,3,8,3,2,4,8,8,8,3,4,4,8,8,4,,,,,,,,,,,,,,,,,,
b. Check Gauges,4,4,4,3,3,2,4,2,3,4,8,3,3,3,8,8,3,,,,,,,,,,,,,,,,,,
c. Start off smoothly,4,4,4,3,8,3,2,4,8,4,8,3,8,8,4,8,4,,,,,,,,,,,,,,,,,,
Use of Brakes and Stopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Checks rear/gives warning,8,1,4,4,8,8,1,3,4,4,4,3,8,4,4,8,4,,,,,,,,,,,,,,,,,,
